[2025-04-01 15:40:31] Starting new parameter optimization.
[2025-04-01 15:40:31] Created grid with 500 parameter combinations.
[2025-04-01 15:40:31] Memory usage Before data loading: 149.92 MB
[2025-04-01 15:40:31] Loading and processing data in chunks...
[2025-04-01 15:40:31] Encoding utf-8 failed, trying next...
[2025-04-01 15:40:32] Found compatible encoding: latin-1
[2025-04-01 15:40:32] Processing chunk 1...
[2025-04-01 15:40:32] Memory usage After processing chunk 1: 150.68 MB
[2025-04-01 15:40:32] Found 25 unique reports.
[2025-04-01 15:40:32] Creating sparse co-occurrence matrix...
[2025-04-01 15:40:32] Memory usage After creating co-occurrence matrix: 150.76 MB
[2025-04-01 15:40:32] Creating network graph...
[2025-04-01 15:40:32] Loading sample of 25 reports for metrics calculation...
[2025-04-01 15:40:32] Memory usage After graph creation: 150.71 MB
[2025-04-01 15:40:32] Search initialization complete.
[2025-04-01 15:40:32] Graph contains 77 nodes and 393 edges.
[2025-04-01 15:40:32] Memory usage Final: 150.71 MB
[2025-04-01 15:40:32] Running parameter optimization with 500 total combinations.
[2025-04-01 15:40:32] 0 already evaluated, 500 remaining.
[2025-04-01 15:40:32] Testing combination 1/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.6, 'quality_weight_redundancy': 0.4}
[2025-04-01 15:40:32] New optimal parameters found: label_propagation, resolution=0.5
[2025-04-01 15:40:32] Testing combination 2/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.6, 'quality_weight_redundancy': 0.5}
[2025-04-01 15:40:32] Testing combination 3/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.3, 'quality_weight_redundancy': 0.3}
[2025-04-01 15:40:32] New optimal parameters found: label_propagation, resolution=0.5
[2025-04-01 15:40:32] Testing combination 4/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.3, 'quality_weight_redundancy': 0.5}
[2025-04-01 15:40:32] Testing combination 5/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.6, 'quality_weight_redundancy': 0.6}
[2025-04-01 15:40:32] Testing combination 6/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.5, 'quality_weight_redundancy': 0.4}
[2025-04-01 15:40:32] Testing combination 7/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.6, 'quality_weight_redundancy': 0.3}
[2025-04-01 15:40:32] Testing combination 8/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.4, 'quality_weight_redundancy': 0.6}
[2025-04-01 15:40:32] Testing combination 9/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.3, 'quality_weight_redundancy': 0.6}
[2025-04-01 15:40:32] Testing combination 10/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.4, 'quality_weight_redundancy': 0.5}
[2025-04-01 15:40:32] Testing combination 11/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.3, 'quality_weight_redundancy': 0.4}
[2025-04-01 15:40:32] Testing combination 12/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.4, 'quality_weight_redundancy': 0.4}
[2025-04-01 15:40:33] Testing combination 13/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.5, 'quality_weight_redundancy': 0.3}
[2025-04-01 15:40:33] Testing combination 14/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.4, 'quality_weight_redundancy': 0.3}
[2025-04-01 15:40:33] Testing combination 15/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.5, 'quality_weight_redundancy': 0.5}
[2025-04-01 15:40:33] Testing combination 16/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.5, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.5, 'quality_weight_redundancy': 0.6}
[2025-04-01 15:40:33] Testing combination 17/500: {'community_algorithm': 'label_propagation', 'community_resolution': 0.8, 'min_pattern_frequency': 4.0, 'quality_weight_coverage': 0.5, 'quality_weight_redundancy': 0.4}
